# prikk-object identity snapshot — generated; regenerate with PRIKK_REGEN=1
# columns: name|object_type_code|schema_version|payload_hex|object_id_hex
empty_patch|1|1||510ab866a195347da66cada7fcb724a5ed77c4b85cf57345db169324e55d5157
patch_payload|1|1|7061796c6f6164|5f8711b3f84991d60b65221d66ed5ec260d28cc19c5c4ed3c1fe44d334265fe6
empty_block|2|1||fffa5e3450ad032ce4f0edb78e3bc9eba73262d4fa5968da76b1816cc1d67744
empty_refstate|3|1||c067f47c3a09316afd403295c26531fa8dcfebb35851f7f86ba9f35c3f8bd06d
patch_schema2|1|2|7061796c6f6164|e82e51bc643dc41ee875c0e392e89c6de35f1f216b64fb94ad719c132be9a940
empty_refupdate|4|1||3e1c7a77faaf71ceb669d0bb5325501a5bec8f25f524225e8eae17cfcd36c633
empty_tag|5|1||72b332f3e453e66d79a54282e164b7b94de368e52c9826544832862425184e41
empty_attestation|6|1||8e13185651b93e39f0d2f61aa8d879e0dc85902dc4d6728ffe6452b04d8e3130
empty_blob|7|1||756c5443da28f79e1d03b184c9a4486605a51c455c5ee9ba992de2683ba7e074
empty_block_summary_cache|8|1||2135207f0abcb104d30daaf67031fe2dd120fc87cddcd7efd666be894e5392c6
empty_recovery_note|9|1||ce94adc4c2a408d7347d5a547c2f3a97a955ec82dbe64dac94315243bbd0b538
empty_project_genesis|10|1||66afdee4b6938c22cd336786d8bfa6f47be07a95a7894e423bfb112ed6c59f26
empty_recognition_claim|11|1||bec841ec655a3c91dfc8cd7f9ada23a8dde6d77ec41e9bf2e748cca06c71c666
codec_sample|1|1|00010100000000000000010100020200000000000000020102000303000000000000000400000007000410000000000000000268690005110000000000000002abcd|dd9de6141b827ded0e87646afc1344716adaa0215722f776fb8aaa10c1c43749
block_populated|2|1|000112000000000000002011111111111111111111111111111111111111111111111111111111111111110002050000000000000002000200031200000000000000202222222222222222222222222222222222222222222222222222222222222222000312000000000000002033333333333333333333333333333333333333333333333333333333333333330004110000000000000020444444444444444444444444444444444444444444444444444444444444444400051200000000000000205555555555555555555555555555555555555555555555555555555555555555|817919e81968b3b84b0763b34ecf6595ca88811c24a49ef94686126741bfc566
refs_populated|3|1|000110000000000000000a68656164732f6d61696e0002120000000000000020666666666666666666666666666666666666666666666666666666666666666600030400000000000000080000000000000007000412000000000000002077777777777777777777777777777777777777777777777777777777777777770005120000000000000020888888888888888888888888888888888888888888888888888888888888888800060500000000000000020001|955a4833cffcdd7d3f40fdcdd6b05af1056d0a7528896f4a41dc49c1d8941d1c
refs_closed|3|2|000110000000000000000a68656164732f6d61696e0002120000000000000020666666666666666666666666666666666666666666666666666666666666666600030400000000000000080000000000000007000412000000000000002077777777777777777777777777777777777777777777777777777777777777770005120000000000000020888888888888888888888888888888888888888888888888888888888888888800060500000000000000020001000701000000000000000101|fdfc027f5f33251adf589e1f8e9de8367454703bb7dc87830da2448ad203c3df
attestation_populated|6|1|000112000000000000002011111111111111111111111111111111111111111111111111111111111111110002100000000000000002763100031100000000000000202222222222222222222222222222222222222222222222222222222222222222000421000000000000006d000110000000000000000d61756469742d736563726574730002100000000000000003302e310003050000000000000002000100041100000000000000203333333333333333333333333333333333333333333333333333333333333333000503000000000000000400000000000505000000000000000200010006040000000000000008000000006553f100000701000000000000000101|9aadda614c7e4efcb0d9b474419377ea00bab4fa336f31e2faf06a05a8c88c53
blob_populated|7|1|000105000000000000000200020002110000000000000003abcdef00030400000000000000080000000000000003|2024c218294f2e8dbcfe3b96e6c2b71778b322647efe5f01f7c13c66c67bfe59
recognition_claim_populated|11|1|000112000000000000002011111111111111111111111111111111111111111111111111111111111111110002120000000000000020222222222222222222222222222222222222222222222222222222222222222200021200000000000000203333333333333333333333333333333333333333333333333333333333333333|6af831e68414039492ee9fee92ab2e797127c0ba62df95d448f8117243b73aa8
